geneClass	numReps	max_lnL_repNum	max_lnL	median_omegaPatDip	median_omegaPatTet	median_omegaPatLineage	median_omegaMatTet	median_omegaMatDip	median_omegaMatLineage	median_omegaOutgroup	median_omegaPatDipSE	median_omegaPatTetSE	median_omegaPatLineageSE	median_omegaMatTetSE	median_omegaMatDipSE	median_omegaMatLineageSE	median_omegaOutgroupSE	NOT-PatTet	NOT-MatTet	NOT-PatTetSE	NOT-MatTetSE	NOT-deltaCorrected_PatTet	NOT-deltaCorrected_PatTetSE	NOT-deltaCorrected_MatTet	NOT-deltaCorrected_MatTetSE	NOT-corrected_Delta	NOT-corrected_DeltaSE	NOT-ratioCorrected_PatTet	NOT-ratioCorrected_PatTetSE	NOT-ratioCorrected_MatTet	NOT-ratioCorrected_MatTetSE	NOT-corrected_Ratio	NOT-corrected_RatioSE	NOT-correctedRatio_Delta	NOT-correctedRatio_DeltaSE	Diploid-deltaCorrected_PatTet	Diploid-deltaCorrected_PatTetSE	Diploid-deltaCorrected_MatTet	Diploid-deltaCorrected_MatTetSE	Diploid-corrected_Delta	Diploid-corrected_DeltaSE	Diploid-ratioCorrected_PatTet	Diploid-ratioCorrected_PatTetSE	Diploid-ratioCorrected_MatTet	Diploid-ratioCorrected_MatTetSE	Diploid-corrected_Ratio	Diploid-corrected_RatioSE	Diploid-correctedRatio_Delta	Diploid-correctedRatio_DeltaSE
mt-OXPHOS	1000	0	-16275.535403	0.173526	0.439521	0.0992008	0.0528692	0.141005	0.21265	0.16139	0.12401	0.246304	0.029765	0.023323	0.04515	0.081047	0.020028	0.381959	0.181874	0.009746	0.002684	0.057562	0.25605	-0.1290048	0.026007	0.1865668	0.282057	1.1507020387	1.77670895265	0.290691357753	0.711944307578	3.9585010287	153.046864168	0.860010680947	2.48865326023	0.265995	0.370314	-0.0881358	0.068473	0.3541308	0.438787	2.53288268041	34.6013104651	0.374945569306	1.4922927194	6.75533434118	730.53316083	2.1579371111	36.0936031845
mt-PPR	1000	0	-8695.344434	0.107555	0.532686	0.210187	0.175598	0.314403	0.1046	0.284571	0.075902	0.313804	0.081241	0.067944	0.131799	0.042281	0.041289	0.381959	0.181874	0.009746	0.002684	0.150727	0.32355	-0.006276	0.070628	0.157003	0.394178	1.39461565247	2.28085134535	0.965492593774	2.12968247169	1.44446022834	7.21361674433	0.429123058692	4.41053381704	0.425131	0.389706	-0.138805	0.199743	0.563936	0.589449	4.95268467296	188.070191144	0.558512482387	1.10326464046	8.86763470673	881.030646559	4.39417219057	189.173455784
mt-Transcription_and_Transcript_Maturation-Intron_Splicing	1000	0	-3131.058173	999.0	0.0001	0.623554	0.560843	0.209932	1.40156	0.259892	132307097.856	11.329585	0.305615	0.51516	0.189563	1.372852	0.081335	0.381959	0.181874	0.009746	0.002684	-0.381859	11.339331	0.378969	0.517844	-0.760828	11.857175	0.000261808204546	77.6569816988	3.08368980723	16.3456090708	8.49009533747e-05	8.16655961823	-3.08342799902	94.0025907696	-998.9999	132307109.185	0.350911	0.704723	-999.350811	132307109.89	1.001001001e-07	1.13522795325e-05	2.67154602443	42.3880162845	3.74689783312e-08	1.59058820563e-06	-2.67154592433	42.3880276368
mt-Transcription_and_Transcript_Maturation-mTERF	386	2	-430.171601	0.1504235	0.159315	0.0405132	0.251597	0.1330475	0.0001	0.0400949	924319225.219	938302980.783	1.054423	1058066284.28	966593543.171	319.890341	0.0512085	0.381959	0.181874	0.009746	0.002684	-0.222644	938302980.792	0.069723	1058066284.28	-0.292367	1996369265.07	0.417099741072	6431460411.17	1.38335880885	31986862151.5	0.301512332451	4880318677.12	-0.966259067774	38418322562.7	0.0088915	1862622206.0	0.1185495	2024659827.45	-0.109658	3887282033.45	1.05910978005	87289713092.8	1.89103139856	2.55038812963e+11	0.560069907279	46781282528.4	-0.831921618506	3.42328526056e+11
mt-Transcription_and_Transcript_Maturation-Transcript_End_Processing	1000	0	-2343.747797	0.191384	0.507635	0.0001	0.74253	0.252674	0.0001	0.110562	0.296659	0.399711	188.0930975	0.980857	0.275568	64.791655	0.05081	0.381959	0.181874	0.009746	0.002684	0.125676	0.409457	0.560656	0.983541	-0.43498	1.392998	1.32903007914	2.85775523911	4.08266162288	31.0051859558	0.32553030398	0.36857017788	-2.75363154374	33.8629411949	0.316251	0.69637	0.489856	1.256425	-0.173605	1.952795	2.65244221043	67.8948246751	2.93868779534	52.6380382115	0.902594081151	12.8276097659	-0.286245584916	120.532862887
mt-tRNA_Aminoacylation	1000	0	-38426.831167	0.268844	0.224581	0.127567	0.327497	0.108279	0.118654	0.152745	0.086394	0.096474	0.026573	0.050439	0.021352	0.028839	0.014069	0.381959	0.181874	0.009746	0.002684	-0.157378	0.10622	0.145623	0.053123	-0.303001	0.159343	0.58797148385	0.684361242709	1.80068069103	1.78793962173	0.326527344232	0.269854985892	-1.21270920718	2.47230086444	-0.044263	0.182868	0.219218	0.071791	-0.263481	0.254659	0.835358051509	2.16889906514	3.02456616703	20.9621239283	0.27619103216	0.411884655426	-2.18920811552	23.1310229935
Not-organelle-targeted	1000	217	-5049612.63778	0.298547	0.381959	0.146579	0.181874	0.163704	0.144196	0.181497	0.008846	0.009746	0.001918	0.002684	0.00231	0.002302	0.001296	0.381959	0.181874	0.009746	0.002684	0.0	0.019492	0.0	0.005368	0.0	0.02486	1.0	0.133605060308	1.0	0.162282343346	1.0	0.295887403654	0.0	0.295887403654	0.083412	0.018592	0.01817	0.004994	0.065242	0.023586	1.27939319437	0.271799208978	1.11099301178	0.206546726376	1.15157627529	0.442116316777	0.168400182594	0.478345935354
Plastid_Enzyme_Complexes	1000	0	-42916.670243	0.190907	0.313506	0.0790638	0.0899591	0.156815	0.0724996	0.122253	0.071743	0.085254	0.013803	0.016746	0.028817	0.014076	0.009386	0.381959	0.181874	0.009746	0.002684	-0.068453	0.095	-0.0919149	0.01943	0.0234619	0.11443	0.820784429742	0.629365063019	0.494623200677	0.526106970251	1.65941352654	8.49402536144	0.326161229065	1.15547203327	0.122599	0.156997	-0.0668559	0.045563	0.1894549	0.20256	1.64219227163	7.64786679205	0.573663871441	1.06662815104	2.86263847766	49.7996039681	1.06852840019	8.71449494309
Plastid-targeted_Interacting	1000	0	-125340.885887	0.246662	0.317468	0.124312	0.210776	0.160989	0.116318	0.162236	0.050988	0.057885	0.011991	0.019796	0.017355	0.013373	0.0076	0.381959	0.181874	0.009746	0.002684	-0.064491	0.067631	0.028902	0.02248	-0.093393	0.090111	0.831157270807	0.442912942743	1.15891221395	0.707440371833	0.717187428695	0.60070279623	-0.327754943144	1.15035331458	0.070806	0.108873	0.049787	0.037151	0.021019	0.146024	1.28705678216	2.33961839201	1.30925715422	1.9116515043	0.983043535803	2.44259798962	-0.0222003720602	4.25126989631
Plastid-targeted_Non-interacting	1000	56	-874941.349098	0.207433	0.323537	0.116729	0.167221	0.124665	0.119569	0.146163	0.017232	0.02076	0.004062	0.006101	0.004802	0.005065	0.002743	0.381959	0.181874	0.009746	0.002684	-0.058422	0.030506	-0.014653	0.008785	-0.043769	0.039291	0.84704641074	0.190226369168	0.919433233997	0.25303528098	0.92127016886	0.479072137176	-0.0723868232567	0.443261650149	0.116104	0.037992	0.042556	0.010903	0.073548	0.048895	1.55971807764	1.45672549408	1.34136285244	0.948502386367	1.16278609833	1.52239099575	0.2183552252	2.40522788044
pt-Chlororibosome-Large_Subunit	1000	0	-9109.566045	0.43359	0.669664	0.066885	0.11457	0.166639	0.0616065	0.0851742	0.312093	0.347449	0.027576	0.037205	0.081959	0.025405	0.016292	0.381959	0.181874	0.009746	0.002684	0.287705	0.357195	-0.067304	0.039889	0.355009	0.397084	1.75323529489	2.58687819125	0.629941607926	1.15695950245	2.78317112702	29.1027353052	1.12329368696	3.74383769371	0.236074	0.659542	-0.052069	0.119164	0.288143	0.778706	1.54446366383	5.80799991869	0.687534130666	2.73501002788	2.24638108123	41.4837149258	0.856929533164	8.54300994657
pt-Chlororibosome-Small_Subunit	1000	0	-4845.37606	0.162064	0.908144	0.197688	0.0787064	0.256363	0.0724947	0.113872	0.223259	0.992886	0.087693	0.06117	0.168272	0.046634	0.033968	0.381959	0.181874	0.009746	0.002684	0.526185	1.002632	-0.1031676	0.063854	0.6293526	1.066486	2.37759550109	7.18322378061	0.43275234503	1.86445256181	5.49412505419	338.873993904	1.94484315606	9.04767634242	0.74608	1.216145	-0.1776566	0.229442	0.9237366	1.445587	5.6036133873	304.717518757	0.307011542227	1.17206832746	18.2521261144	7375.44395563	5.29660184508	305.889587084
pt-CLP	1000	0	-9621.144406	0.0001	0.172292	0.0421137	0.0895512	0.0766383	0.118623	0.0745263	3.147633	0.122088	0.022875	0.050686	0.049284	0.04631	0.016678	0.381959	0.181874	0.009746	0.002684	-0.209667	0.131834	-0.0923228	0.05337	-0.1173442	0.185204	0.451074591776	0.850426518319	0.492380439205	1.55198226062	0.916109893609	8.88035128548	-0.0413058474296	2.40240877894	0.172192	3.269721	0.0129129	0.09997	0.1592791	3.369691	1722.92	9.34360177122e+14	1.16849147228	20.08656424	1474.4823055	6.84326323718e+14	1721.75150853	9.34360177122e+14
pt-DNA_RRR	1000	0	-2707.103004	0.411102	2.05411	0.207423	0.399161	0.0740472	0.148239	0.131724	0.342621	2.305194	0.089209	0.259283	0.096661	0.102484	0.048612	0.381959	0.181874	0.009746	0.002684	1.672151	2.31494	0.217287	0.261967	1.454864	2.576907	5.37782851039	17.7326133975	2.1947117235	8.22933468746	2.45035758127	13.9395820445	3.18311678689	25.961948085	1.643008	2.647815	0.3251138	0.355944	1.3178942	3.003759	4.99659451912	64.2529181729	5.39062922028	559.575148395	0.926903764838	18.7554431921	-0.394034701159	623.828066568
pt-Photosynthesis-ATP_Synthase	1000	0	-899.581001	999.0	0.0001	0.136765	0.0001	0.0001	0.0001	0.0133778	124935306.412	68.788142	0.428589	7.694865	101.6437335	38.759705	0.173322	0.381959	0.181874	0.009746	0.002684	-0.381859	68.797888	-0.181774	7.697549	-0.200085	76.495437	0.000261808204546	471.498248535	0.000549831201821	232.626811487	0.476161053935	1734094240.88	-0.000288022997276	704.125060022	-998.9999	124935375.2	0.0	109.3385985	-998.9999	124935484.539	1.001001001e-07	6.89259261783e-05	1.0	10933859850.0	1.001001001e-07	0.000178483530329	-0.9999998999	10933859850.0
pt-Photosynthesis-Cytochrome_b6f	1000	0	-458.340467	38.8439	37.21325	0.0001	0.0001	0.0001	0.174813	0.138235	34754795993.1	33253858155.5	866.8936025	750587.94057	793461257.982	1696.7514315	0.799077	0.381959	0.181874	0.009746	0.002684	36.831291	33253858155.5	-0.181774	750587.943254	37.013065	33254608743.5	97.427341678	2.27933702888e+11	0.000549831201821	22691350.5744	177195.003404	2.35670196617e+24	97.4267918468	2.27956394238e+11	-1.63065	68008654148.7	0.0	794211845.923	-1.63065	68802865994.6	0.958020435641	43179892.9256	1.0	7.94211845923e+16	0.958020435641	7.28930138442e+16	-0.0419795643589	7.94211846355e+16
pt-Photosynthesis-NDH	1000	0	-7548.016501	0.472925	0.0740526	0.101724	0.0725338	0.210327	0.0712448	0.15467	0.457269	0.10552	0.034558	0.039857	0.072865	0.026379	0.022983	0.381959	0.181874	0.009746	0.002684	-0.3079064	0.115266	-0.1093402	0.042541	-0.1985662	0.157807	0.193875782479	0.725782352942	0.398813464266	1.21783998696	0.48613148715	6.3726693894	-0.204937681787	1.9436223399	-0.3988724	0.562789	-0.1377932	0.112722	-0.2610792	0.675511	0.156584236401	0.52191997259	0.344862048144	1.09687212069	0.454048908089	6.28985651105	-0.188277811743	1.61879209328
pt-Photosynthesis-PSII	1000	0	-6103.501781	0.0001	0.0001	0.0131819	0.0645859	0.0085051	0.013305	0.109223	91.5747825	89.384754	0.010244	0.027066	0.008792	0.01419	0.018212	0.381959	0.181874	0.009746	0.002684	-0.381859	89.3945	-0.1172881	0.02975	-0.2645709	89.42425	0.000261808204546	612.674710078	0.355113430177	0.828476372995	0.000737252332065	4858.42787115	-0.354851621972	613.503186451	0.0	180.9595365	0.0560808	0.035858	-0.0560808	180.9953945	1.0	18095953650.0	7.59378490553	7382.99497073	0.131686637486	313808638.877	-6.59378490553	18095961033.0
pt-Photosynthesis-PSI	1000	0	-3747.862006	0.0001	0.0429576	0.0716861	0.0211738	0.219388	0.0347725	0.0562121	1.813053	0.050393	0.034584	0.016241	0.084187	0.025242	0.016957	0.381959	0.181874	0.009746	0.002684	-0.3390014	0.060139	-0.1607002	0.018925	-0.1783012	0.079064	0.112466521276	0.346256407193	0.116420159011	0.49208849596	0.966039921531	59.4297101528	-0.00395363773534	0.838344903153	0.0428576	1.863446	-0.1982142	0.100428	0.2410718	1.963874	429.576	3.3457276439e+13	0.0965130271482	0.353725221349	4450.96390294	3.59185503535e+15	429.479486973	3.3457276439e+13
pt-PPR	1000	0	-19824.897086	0.372753	0.232981	0.114679	0.169571	0.13604	0.11988	0.194861	0.242508	0.133711	0.024383	0.045331	0.041153	0.031843	0.022658	0.381959	0.181874	0.009746	0.002684	-0.148978	0.143457	-0.012303	0.048015	-0.136675	0.191472	0.609963373032	0.941356710268	0.93235426724	1.44095594343	0.654218460154	1.79238037151	-0.322390894208	2.3823126537	-0.139772	0.376219	0.033531	0.086484	-0.173303	0.462703	0.625027833445	1.64417183377	1.24647897677	5.90433458148	0.501434717386	2.01372135554	-0.621451143327	7.54850641525
pt-Transcription_and_Transcript_Maturation-Intron_Splicing	1000	0	-4730.981618	0.418074	0.0001	0.288371	0.31152	0.237757	0.333411	0.261353	0.423136	6.464817	0.106001	0.189192	0.181238	0.207768	0.065289	0.381959	0.181874	0.009746	0.002684	-0.381859	6.474563	0.129646	0.191876	-0.511505	6.666439	0.000261808204546	44.3121416608	1.71283415991	5.95759769909	0.000152850877611	15.1040046425	-1.71257235171	50.2697393598	-0.417974	6.887953	0.073763	0.37043	-0.491737	7.258383	0.000239192104747	36.9870690554	1.31024533452	8.85096902533	0.000182555204315	21.5449096749	-1.31000614242	45.8380380807
pt-Transcription_and_Transcript_Maturation-mTERF	1000	0	-2810.68099	0.0001	0.0001	0.144081	0.162513	0.085411	0.478208	0.15296	826.7522905	862.250494	0.068203	0.114263	0.096374	0.364824	0.041344	0.381959	0.181874	0.009746	0.002684	-0.381859	862.26024	-0.019361	0.116947	-0.362498	862.377187	0.000261808204546	5910.16977484	0.893547181015	3.51911973003	0.000292998747137	7402.27096196	-0.893285372811	5913.68889457	0.0	1689.0027845	0.077102	0.210637	-0.077102	1689.2134215	1.0	1.6890027845e+11	1.90271744857	63.4909620043	0.525564108717	46653235025.3	-0.902717448572	1.68900278513e+11
pt-Transcription_and_Transcript_Maturation-Sigma_Factor	1000	0	-8169.725099	0.0001	0.35119	0.156676	0.119493	0.0936281	0.0896308	0.147088	2.093502	0.14551	0.054961	0.049758	0.041787	0.03518	0.024049	0.381959	0.181874	0.009746	0.002684	-0.030769	0.155256	-0.062381	0.052442	0.031612	0.207698	0.919444233543	1.05385036106	0.657009797992	1.53928129547	1.39943762841	9.42501205518	0.262434435551	2.59313165654	0.35109	2.239012	0.0258649	0.091545	0.3252251	2.330557	3511.9	2.58200848229e+15	1.27625146724	13.4403876259	2751.73043099	1.58520404919e+15	3510.62374853	2.58200848229e+15
pt-Transcription_and_Transcript_Maturation-Transcript_End_Processing	1000	0	-2343.747797	0.191384	0.507635	0.0001	0.742529	0.252674	0.0001	0.110562	0.296659	0.399712	188.093098	0.980857	0.275569	64.791657	0.05081	0.381959	0.181874	0.009746	0.002684	0.125676	0.409458	0.560655	0.983541	-0.434979	1.392999	1.32903007914	2.85776209347	4.08265612457	31.0051823129	0.325530742388	0.368572089633	-2.75362604543	33.8629444063	0.316251	0.696371	0.489855	1.256426	-0.173604	1.952797	2.65244221043	67.8948519767	2.93868383767	52.638073077	0.902595296718	12.8276641426	-0.286241627247	120.532925054
pt-Transcription_and_Transcript_Maturation-tRNA_Base_Modification	1000	0	-5590.504435	0.0001	0.733078	0.171158	0.347526	0.949291	0.161252	0.214561	5.464625	0.934954	0.079055	0.179122	0.675482	0.079277	0.040072	0.381959	0.181874	0.009746	0.002684	0.351119	0.9447	0.165652	0.181806	0.185467	1.126506	1.91925834972	6.65457594718	1.91080638244	5.71137621581	1.00442324631	3.40070499058	0.00845196727757	12.365952163	0.732978	6.399579	-0.601765	0.854604	1.334743	7.254183	7330.78	2.93670781316e+16	0.366090060898	0.299229190429	20024.5261563	2.19121435294e+17	7330.41390994	2.93670781316e+16
pt-tRNA_Aminoacylation	1000	0	-34717.697306	0.329216	0.173659	0.108382	0.271379	0.105913	0.120245	0.140017	0.111214	0.08729	0.025109	0.044231	0.02123	0.031245	0.014049	0.381959	0.181874	0.009746	0.002684	-0.2083	0.097036	0.089505	0.046915	-0.297805	0.143951	0.454653509932	0.612125264048	1.49212641719	1.51782265495	0.304701736189	0.338227967717	-1.03747290726	2.129947919	-0.155557	0.198504	0.165466	0.065461	-0.321023	0.263965	0.527492588453	1.09089922275	2.56228225053	16.3682704007	0.205868259964	0.271825756454	-2.03478966207	17.4591696235
